DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00001,BTD00024 | BIOD00024,Lepirudin,138068-37-8,Y43GF64R34,"[Leu1, Thr2]-63-desulfohirudin | Desulfatohirudin | Hirudin variant-1 | Lepirudin | Lepirudin recombinant | R-hirudin",
DB00002,BTD00071 | BIOD00071,Cetuximab,205923-56-4,PQX0D8J21J,Cetuximab | Cétuximab | Cetuximabum,
DB00003,BTD00001 | BIOD00001,Dornase alfa,143831-71-4,953A26OA1Y,"Deoxyribonuclease (human clone 18-1 protein moiety) | Dornasa alfa | Dornase alfa | Dornase alfa, recombinant | Dornase alpha | Recombinant deoxyribonuclease (DNAse)",
DB00004,BTD00084 | BIOD00084,Denileukin diftitox,173146-27-5,25E79B5CTM,Denileukin | Denileukin diftitox | Interleukin-2/diptheria toxin fusion protein,
DB00005,BTD00052 | BIOD00052,Etanercept,185243-69-0,OP401G7OJC,Etanercept | etanercept-szzs | etanercept-ykro | Recombinant human TNF | rhu TNFR:Fc | rhu-TNFR:Fc | TNFR-Immunoadhesin,
DB00006,BTD00076 | EXPT03302 | BIOD00076 | DB02351,Bivalirudin,128270-60-0,TN9BEX005G,Bivalirudin | Bivalirudina | Bivalirudinum,OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007,BTD00009 | BIOD00009,Leuprolide,53714-56-0,EFY6W0M8TG,Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum,GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00008,BTD00043 | BIOD00043,Peginterferon alfa-2a,198153-51-4,Q46947FE7K,PEG-IFN alfa-2A | PEG-Interferon alfa-2A | Peginterferon alfa-2a | Pegylated Interfeaon alfa-2A | Pegylated interferon alfa-2a | Pegylated interferon alpha-2a | Pegylated-interferon alfa 2a,
DB00009,BTD00050 | BIOD00050,Alteplase,105857-23-6,1RXS4UE564,"Alteplasa | Alteplase | Alteplase (genetical recombination) | Alteplase, recombinant | Alteplase,recombinant | Plasminogen activator (human tissue-type protein moiety) | rt-PA | t-PA | t-plasminogen activator | Tissue plasminogen activator | Tissue plasminogen activator alteplase | Tissue plasminogen activator, recombinant | tPA",
DB00010,BTD00033 | BIOD00033,Sermorelin,86168-78-7,89243S03TE,Sermorelin,
DB00011,BTD00096 | BIOD00096 | DB00084,Interferon alfa-n1,74899-72-2,41697D4Z5C,Interferon alfa-n1 | Interferon alpha-n1 (INS) | WELL-FERON | WELLFERON,
DB00012,BTD00032 | BIOD00032,Darbepoetin alfa,209810-58-2,15UQ94PT4P,"Darbepoetin | Darbepoetin alfa | Darbepoetin alfa,recombinant | Darbepoetina alfa",
DB00013,BTD00030 | BIOD00030,Urokinase,9039-53-6,83G67E21XI,"Kinase (enzyme-activating), uro-urokinase | TCUK | Tissue culture urokinase | Two-chain urokinase | Urochinasi | Urokinase | Urokinasum | Uroquinasa",
DB00014,BTD00113 | BIOD00113,Goserelin,65807-02-5,0F65R8P09N,Goserelin | Goserelina,BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00015,BTD00013 | BIOD00013,Reteplase,133652-38-7,DQA630RIE9,"Human t-PA (residues 1-3 and 176-527) | Reteplasa | Reteplase | Reteplase, recombinant | Reteplase,recombinant",
DB00016,BTD00103 | BIOD00103 | DB08923,Erythropoietin,11096-26-7,64FS3BFH5W,"E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa-epbx | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Epoetin theta | Epoetin zeta | Epoetina alfa | Epoetina beta | Epoetina dseta | Epoetina zeta | Epoétine zêta | Epoetinum zeta | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72",
DB00017,BTD00025 | BIOD00025,Salmon calcitonin,47931-85-1,7SFC6U2VI5,"Calcitonin (Salmon Synthetic) | Calcitonin salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Calcitonina salmón sintética | Recombinant salmon calcitonin | Salmon calcitonin",
DB00018,BTD00023 | BIOD00023,Interferon alfa-n3,,47BPR3V3MP,Interferon alfa-n3,
DB00019,BTD00094 | BIOD00094,Pegfilgrastim,208265-92-3,3A58010674,Granulocyte colony-stimulating factor pegfilgrastim | peg-filgrastim | Pegfilgrastim | pegfilgrastim-apgf | pegfilgrastim-bmez | pegfilgrastim-cbqv | pegfilgrastim-jmdb,
DB00020,BTD00035 | BIOD00035,Sargramostim,123774-72-1,5TAA004E22,Recombinant human granulocyte-macrophage colony stimulating factor | rGM-CSF | rHu GM-CSF | Sargramostim,
DB00022,BTD00048 | BIOD00048,Peginterferon alfa-2b,215647-85-1,G8RGG88B68,Peginterferon alfa-2b,
DB00023,BTD00011 | BIOD00011,Asparaginase Escherichia coli,9015-68-3,G4FQ3CKY5R,Asparaginase | Asparaginase (E. coli) | Colaspase | Escherichia coli L-asparaginase | L-asparaginase | L-asparagine amidohydrolase,
DB00024,BTD00020 | BIOD00020,Thyrotropin alfa,194100-83-9,AVX3D5A4LM,Recombinant Human Thyroid Stimulating Hormone | Recombinant thyrotropin alfa | rhTSH | rTSH | Thyrotropin alfa | Thyrotropin alpha,
DB00025,BTD00029 | BIOD00029 | DB13162 | DBSALT002413,"Antihemophilic factor, human recombinant",139076-62-3,P89DR4NY54,"Antihemophilic factor (recombinant) | Antihemophilic factor recombinant | Antihemophilic factor, human recombinant | Antihemophilic factor, recombinant | Coagulation factor VIII, recombinant | Factor VIII (rDNA) | Factor VIII (Recombinant) | Factor VIII recombin | Factor VIII, recombinant | Human Factor VIII (Recombinant) | Human factor VIII recombinant | Octocog alfa | rAHF | Recombinant antihemophilic factor VIII",
DB00026,BTD00060 | BIOD00060,Anakinra,143090-92-0,9013DUQ28K,Anakinra | IL-1RA | Interleukin-1 receptor antagonist anakinra,
