DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter690,Ethanol,DDInter1,Abacavir,Minor
DDInter582,Dolutegravir,DDInter276,Calcium gluconate,Major
DDInter351,Chloramphenicol,DDInter582,Dolutegravir,Minor
DDInter416,Clotrimazole,DDInter582,Dolutegravir,Minor
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter670,Erythromycin,DDInter582,Dolutegravir,Minor
DDInter743,Fluconazole,DDInter582,Dolutegravir,Minor
DDInter843,Griseofulvin,DDInter582,Dolutegravir,Minor
DDInter1008,Ketoconazole,DDInter582,Dolutegravir,Minor
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,Major
DDInter1209,Miconazole,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter25,Acyclovir,Minor
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter246,Budesonide,Moderate
DDInter351,Chloramphenicol,DDInter1961,Zidovudine,Moderate
DDInter352,Chloramphenicol (ophthalmic),DDInter1961,Zidovudine,Moderate
DDInter475,Dapsone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter537,Diclofenac,Moderate
DDInter743,Fluconazole,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter744,Flucytosine,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter1191,Methylprednisolone,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1735,Tacrolimus,Moderate
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,Moderate
DDInter267,Calcipotriol (topical),DDInter2,Abaloparatide,Moderate
DDInter269,Calcitriol (topical),DDInter2,Abaloparatide,Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter246,Budesonide,DDInter3,Abametapir (topical),Moderate
DDInter398,Clindamycin,DDInter3,Abametapir (topical),Moderate
DDInter475,Dapsone,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter537,Diclofenac,DDInter3,Abametapir (topical),Moderate
DDInter670,Erythromycin,DDInter3,Abametapir (topical),Moderate
DDInter736,Finasteride,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter766,Fluticasone,Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter991,Isotretinoin,DDInter3,Abametapir (topical),Moderate
DDInter998,Ivermectin,DDInter3,Abametapir (topical),Moderate
DDInter1008,Ketoconazole,DDInter3,Abametapir (topical),Moderate
DDInter1066,Lidocaine,DDInter3,Abametapir (topical),Moderate
DDInter1191,Methylprednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1469,Pimecrolimus (topical),DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1584,Retapamulin (topical),DDInter3,Abametapir (topical),Moderate
DDInter1735,Tacrolimus,DDInter3,Abametapir (topical),Moderate
DDInter1768,Terbinafine,DDInter3,Abametapir (topical),Moderate
DDInter1792,Thiabendazole,DDInter3,Abametapir (topical),Moderate
DDInter1853,Tretinoin,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter435,Collagenase clostridium histolyticum,DDInter6,Abciximab,Moderate
DDInter6,Abciximab,DDInter501,Deoxycholic acid,Moderate
DDInter6,Abciximab,DDInter537,Diclofenac,Moderate
DDInter6,Abciximab,DDInter538,Diclofenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter539,Diclofenac (topical),Moderate
DDInter6,Abciximab,DDInter1633,Salicylic acid (sodium),Moderate
DDInter351,Chloramphenicol,DDInter7,Abemaciclib,Moderate
DDInter416,Clotrimazole,DDInter7,Abemaciclib,Moderate
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter670,Erythromycin,DDInter7,Abemaciclib,Moderate
DDInter743,Fluconazole,DDInter7,Abemaciclib,Moderate
DDInter843,Griseofulvin,DDInter7,Abemaciclib,Moderate
DDInter1008,Ketoconazole,DDInter7,Abemaciclib,Major
DDInter537,Diclofenac,DDInter8,Abiraterone,Moderate
DDInter569,Diphenhydramine,DDInter8,Abiraterone,Moderate
DDInter593,Doxepin,DDInter8,Abiraterone,Moderate
DDInter594,Doxepin (topical),DDInter8,Abiraterone,Moderate
DDInter670,Erythromycin,DDInter8,Abiraterone,Moderate
DDInter743,Fluconazole,DDInter8,Abiraterone,Moderate
DDInter991,Isotretinoin,DDInter8,Abiraterone,Moderate
DDInter1008,Ketoconazole,DDInter8,Abiraterone,Moderate
DDInter1202,Metronidazole,DDInter8,Abiraterone,Minor
DDInter1533,Promethazine,DDInter8,Abiraterone,Moderate
DDInter1735,Tacrolimus,DDInter8,Abiraterone,Moderate
DDInter1853,Tretinoin,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter66,Amikacin,Major
