DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter997,Ivacaftor,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter1123,Mannitol,Moderate
DDInter195,Betamethasone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter246,Budesonide,Moderate
DDInter1961,Zidovudine,DDInter513,Dexamethasone,Moderate
DDInter1961,Zidovudine,DDInter763,Flurbiprofen,Moderate
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,Moderate
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter1961,Zidovudine,DDInter1156,Mercaptopurine,Moderate
DDInter1961,Zidovudine,DDInter1513,Prednisolone,Moderate
DDInter1961,Zidovudine,DDInter1614,Roflumilast,Moderate
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,Moderate
DDInter128,Astemizole,DDInter3,Abametapir (topical),Moderate
DDInter195,Betamethasone,DDInter3,Abametapir (topical),Moderate
DDInter246,Budesonide,DDInter3,Abametapir (topical),Moderate
DDInter263,Caffeine,DDInter3,Abametapir (topical),Moderate
DDInter375,Ciclesonide,DDInter3,Abametapir (topical),Moderate
DDInter427,Cocaine (topical),DDInter3,Abametapir (topical),Moderate
DDInter429,Codeine,DDInter3,Abametapir (topical),Moderate
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),Moderate
DDInter527,Dextromethorphan,DDInter3,Abametapir (topical),Moderate
DDInter3,Abametapir (topical),DDInter766,Fluticasone,Moderate
DDInter884,Hydrocodone,DDInter3,Abametapir (topical),Moderate
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),Moderate
DDInter915,Indacaterol,DDInter3,Abametapir (topical),Moderate
DDInter997,Ivacaftor,DDInter3,Abametapir (topical),Moderate
DDInter1066,Lidocaine,DDInter3,Abametapir (topical),Moderate
DDInter1091,Loratadine,DDInter3,Abametapir (topical),Moderate
DDInter1242,Montelukast,DDInter3,Abametapir (topical),Moderate
DDInter1426,Pentoxifylline,DDInter3,Abametapir (topical),Moderate
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),Moderate
DDInter1614,Roflumilast,DDInter3,Abametapir (topical),Moderate
DDInter1635,Salmeterol,DDInter3,Abametapir (topical),Moderate
DDInter1770,Terfenadine,DDInter3,Abametapir (topical),Moderate
DDInter1791,Theophylline,DDInter3,Abametapir (topical),Moderate
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),Moderate
DDInter5,Abatacept,DDInter1614,Roflumilast,Moderate
DDInter6,Abciximab,DDInter763,Flurbiprofen,Moderate
DDInter6,Abciximab,DDInter764,Flurbiprofen (ophthalmic),Moderate
DDInter6,Abciximab,DDInter900,Ibuprofen,Moderate
DDInter6,Abciximab,DDInter1426,Pentoxifylline,Moderate
DDInter513,Dexamethasone,DDInter7,Abemaciclib,Moderate
DDInter1614,Roflumilast,DDInter7,Abemaciclib,Moderate
DDInter1632,Salbutamol,DDInter8,Abiraterone,Moderate
DDInter128,Astemizole,DDInter8,Abiraterone,Moderate
DDInter362,Chlorpheniramine,DDInter8,Abiraterone,Moderate
DDInter429,Codeine,DDInter8,Abiraterone,Moderate
DDInter527,Dextromethorphan,DDInter8,Abiraterone,Moderate
DDInter569,Diphenhydramine,DDInter8,Abiraterone,Moderate
DDInter776,Formoterol,DDInter8,Abiraterone,Moderate
DDInter884,Hydrocodone,DDInter8,Abiraterone,Major
DDInter915,Indacaterol,DDInter8,Abiraterone,Moderate
DDInter987,Isoprenaline,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter997,Ivacaftor,Moderate
DDInter1346,Orciprenaline,DDInter8,Abiraterone,Moderate
DDInter1168,Methdilazine,DDInter8,Abiraterone,Moderate
DDInter1242,Montelukast,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1331,Olodaterol,Moderate
DDInter1476,Pirbuterol,DDInter8,Abiraterone,Moderate
DDInter1533,Promethazine,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1586,Revefenacin,Moderate
DDInter1635,Salmeterol,DDInter8,Abiraterone,Moderate
DDInter1769,Terbutaline,DDInter8,Abiraterone,Moderate
DDInter1770,Terfenadine,DDInter8,Abiraterone,Moderate
DDInter1793,Thiethylperazine,DDInter8,Abiraterone,Moderate
DDInter45,Alimemazine,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter23,Acrivastine,Moderate
DDInter225,Botulinum toxin type A,DDInter149,Azatadine,Moderate
DDInter225,Botulinum toxin type A,DDInter245,Brompheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter297,Carbinoxamine,Moderate
DDInter225,Botulinum toxin type A,DDInter354,Chlorcyclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter362,Chlorpheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter395,Clemastine,Moderate
DDInter225,Botulinum toxin type A,DDInter453,Cyclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter459,Cyproheptadine,Moderate
DDInter225,Botulinum toxin type A,DDInter517,Dexbrompheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter569,Diphenhydramine,Moderate
DDInter225,Botulinum toxin type A,DDInter600,Doxylamine,Moderate
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,Moderate
DDInter225,Botulinum toxin type A,DDInter1134,Meclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter1168,Methdilazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1441,Phenindamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1533,Promethazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1155,Mepyramine,Moderate
DDInter225,Botulinum toxin type A,DDInter1793,Thiethylperazine,Moderate
DDInter225,Botulinum toxin type A,DDInter45,Alimemazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1878,Tripelennamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1879,Triprolidine,Moderate
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,Moderate
DDInter1377,Paclitaxel,DDInter1614,Roflumilast,Moderate
DDInter1955,Zafirlukast,DDInter1377,Paclitaxel,Moderate
DDInter195,Betamethasone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter246,Budesonide,Moderate
DDInter991,Isotretinoin,DDInter513,Dexamethasone,Moderate
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter997,Ivacaftor,Moderate
DDInter1513,Prednisolone,DDInter991,Isotretinoin,Moderate
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,Moderate
DDInter1941,Vitamin A,DDInter991,Isotretinoin,Major
DDInter149,Azatadine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter154,Azelastine (nasal),Moderate
DDInter722,Fentanyl,DDInter245,Brompheniramine,Moderate
DDInter722,Fentanyl,DDInter1427,Pentoxyverine,Moderate
DDInter297,Carbinoxamine,DDInter722,Fentanyl,Moderate
DDInter343,Cetirizine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter407,Clofedanol,Moderate
DDInter722,Fentanyl,DDInter354,Chlorcyclizine,Moderate
DDInter722,Fentanyl,DDInter362,Chlorpheniramine,Moderate
DDInter395,Clemastine,DDInter722,Fentanyl,Moderate
DDInter429,Codeine,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter453,Cyclizine,Moderate
DDInter459,Cyproheptadine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter513,Dexamethasone,Major
DDInter517,Dexbrompheniramine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter569,Diphenhydramine,Moderate
DDInter600,Doxylamine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter834,Glycopyrronium,Moderate
DDInter722,Fentanyl,DDInter884,Hydrocodone,Major
DDInter722,Fentanyl,DDInter997,Ivacaftor,Moderate
DDInter722,Fentanyl,DDInter1053,Levocetirizine,Moderate
DDInter1134,Meclizine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1168,Methdilazine,Moderate
DDInter1333,Olopatadine (nasal),DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1441,Phenindamine,Moderate
DDInter722,Fentanyl,DDInter1533,Promethazine,Moderate
DDInter722,Fentanyl,DDInter1155,Mepyramine,Moderate
DDInter1793,Thiethylperazine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter45,Alimemazine,Moderate
DDInter1873,Trimethobenzamide,DDInter722,Fentanyl,Moderate
DDInter1878,Tripelennamine,DDInter722,Fentanyl,Moderate
DDInter1879,Triprolidine,DDInter722,Fentanyl,Moderate
DDInter1955,Zafirlukast,DDInter722,Fentanyl,Major
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,Moderate
DDInter763,Flurbiprofen,DDInter9,Acalabrutinib,Major
DDInter764,Flurbiprofen (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter900,Ibuprofen,DDInter9,Acalabrutinib,Major
DDInter997,Ivacaftor,DDInter9,Acalabrutinib,Moderate
DDInter1426,Pentoxifylline,DDInter9,Acalabrutinib,Major
DDInter1614,Roflumilast,DDInter9,Acalabrutinib,Moderate
DDInter1955,Zafirlukast,DDInter9,Acalabrutinib,Moderate
DDInter11,Acarbose,DDInter1632,Salbutamol,Moderate
DDInter11,Acarbose,DDInter195,Betamethasone,Moderate
DDInter11,Acarbose,DDInter196,Betamethasone (topical),Minor
DDInter11,Acarbose,DDInter513,Dexamethasone,Moderate
DDInter11,Acarbose,DDInter515,Dexamethasone (ophthalmic),Minor
DDInter11,Acarbose,DDInter516,Dexamethasone (topical),Minor
DDInter11,Acarbose,DDInter650,Ephedrine,Moderate
DDInter11,Acarbose,DDInter652,Epinephrine,Moderate
DDInter11,Acarbose,DDInter768,Fluticasone (topical),Minor
DDInter11,Acarbose,DDInter776,Formoterol,Moderate
DDInter11,Acarbose,DDInter885,Hydrocortisone,Moderate
DDInter11,Acarbose,DDInter887,Hydrocortisone (topical),Minor
DDInter11,Acarbose,DDInter915,Indacaterol,Moderate
DDInter11,Acarbose,DDInter987,Isoprenaline,Moderate
DDInter11,Acarbose,DDInter1346,Orciprenaline,Moderate
DDInter11,Acarbose,DDInter1168,Methdilazine,Moderate
DDInter11,Acarbose,DDInter1277,Neomycin,Moderate
DDInter11,Acarbose,DDInter1453,Phenylephrine,Moderate
DDInter11,Acarbose,DDInter1458,Phenylpropanolamine,Moderate
DDInter11,Acarbose,DDInter1513,Prednisolone,Moderate
DDInter11,Acarbose,DDInter1533,Promethazine,Moderate
DDInter11,Acarbose,DDInter1545,Pseudoephedrine,Moderate
DDInter11,Acarbose,DDInter1635,Salmeterol,Moderate
DDInter11,Acarbose,DDInter1769,Terbutaline,Moderate
DDInter11,Acarbose,DDInter1793,Thiethylperazine,Moderate
DDInter11,Acarbose,DDInter1855,Triamcinolone,Moderate
DDInter11,Acarbose,DDInter1857,Triamcinolone (ophthalmic),Moderate
DDInter11,Acarbose,DDInter1858,Triamcinolone (topical),Minor
DDInter11,Acarbose,DDInter45,Alimemazine,Moderate
DDInter1066,Lidocaine,DDInter12,Acebutolol,Moderate
DDInter27,Adalimumab,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter35,Albendazole,Minor
DDInter40,Alefacept,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter43,Alfentanil,Minor
DDInter1066,Lidocaine,DDInter54,Alprazolam,Moderate
DDInter1066,Lidocaine,DDInter64,Amifampridine,Moderate
DDInter1066,Lidocaine,DDInter66,Amikacin,Minor
DDInter1066,Lidocaine,DDInter67,Amikacin (liposome),Minor
DDInter1066,Lidocaine,DDInter71,Aminoglutethimide,Minor
DDInter1066,Lidocaine,DDInter76,Amiodarone,Moderate
DDInter1066,Lidocaine,DDInter81,Amobarbital,Minor
DDInter1066,Lidocaine,DDInter90,Amprenavir,Major
DDInter93,Anagrelide,DDInter1066,Lidocaine,Moderate
DDInter94,Anakinra,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter107,Apalutamide,Minor
DDInter1066,Lidocaine,DDInter112,Aprepitant,Moderate
DDInter1066,Lidocaine,DDInter114,Arbutamine,Major
DDInter1066,Lidocaine,DDInter119,Armodafinil,Minor
DDInter1066,Lidocaine,DDInter129,Atazanavir,Moderate
DDInter1066,Lidocaine,DDInter130,Atenolol,Moderate
