drug_code,drug_name,side_effect_code,side_effect_name
CID000004091,Metformin,C1264517,Wound
CID000004091,Metformin,C0853557,Computerised Tomogram
CID000004091,Metformin,C0856110,Oedema
CID000004091,Metformin,C0278987,Lung Cancer Metastatic
CID000004091,Metformin,C0403848,Bartholin'S Abscess
CID000004091,Metformin,C0002873,Anaemia Of Chronic Disease
CID000004091,Metformin,C0036982,Shock Haemorrhagic
CID000004091,Metformin,C0003893,Joint Arthroplasty
CID000004091,Metformin,C0012359,Abdominal Distension
CID000004091,Metformin,C1328346,Wound Treatment
CID000004091,Metformin,C1869066,Hypovolaemic Shock
CID000004091,Metformin,C0032788,Operative Haemorrhage
CID000004091,Metformin,C0424790,Chills
CID000004091,Metformin,C0919718,Mitral Valve Calcification
CID000004091,Metformin,C0267176,Diabetic Gastroparesis
CID000004091,Metformin,C0003621,Appetite Disorder
CID000004091,Metformin,C0497406,Overweight
CID000004091,Metformin,C2830004,Somnolence
CID000004091,Metformin,C0919823,Cytolytic Hepatitis
CID000004091,Metformin,C2242737,Anorectal Discomfort
CID000004091,Metformin,C0948238,Erectile Dysfunction
CID000004091,Metformin,C0235430,Acetonaemia
CID000004091,Metformin,C0235431,Blood Creatinine Increased
CID000004091,Metformin,C0015674,Chronic Fatigue Syndrome
CID000004091,Metformin,C0278106,Ejaculation Failure
CID000004091,Metformin,C0919620,Electrocardiogram St-T Change
CID000004091,Metformin,C0158266,Intervertebral Disc Degeneration
CID000004091,Metformin,C0232159,Pedal Pulse Abnormal
CID000004091,Metformin,C0311337,Metatarsalgia
CID000004091,Metformin,C0853856,Staphylococcal Abscess
CID000004091,Metformin,C0853595,Blood Cholesterol Abnormal
CID000004091,Metformin,C0853692,Blood Triglycerides Increased
CID000004091,Metformin,C0270795,Monoparesis
CID000004091,Metformin,C0233477,Dysphoria
CID000004091,Metformin,C0851341,Infestation
CID000004091,Metformin,C0158619,Congenital Mitral Valve Incompetence
CID000004091,Metformin,C0426576,Gastrointestinal Disorder
CID000004091,Metformin,C0015397,Disorder Of Globe
CID000004091,Metformin,C0031150,Laparoscopy
CID000004091,Metformin,C0877854,Cerebral Arteriosclerosis
CID000004091,Metformin,C0236748,Anxiety Disorder
CID000004091,Metformin,C0948681,Blood Glucose Abnormal
CID000004091,Metformin,C1704204,Pedal Pulse Absent
CID000004091,Metformin,C0948379,Impaired Insulin Secretion
CID000004091,Metformin,C0002965,Angina Unstable
CID000004091,Metformin,C1095927,Narcotic Intoxication
CID000004091,Metformin,C1096497,Csf Neutrophil Count Increased
CID000004091,Metformin,C0341025,Acquired Macroglossia
CID000004091,Metformin,C1869075,Infantile Spasms
CID000004091,Metformin,C0015696,Fatty Liver Alcoholic
CID000004091,Metformin,C0036600,Self-Medication
CID000004091,Metformin,C0869219,Speech Disorder
CID000004091,Metformin,C1272092,Impaired Fasting Glucose
CID000004091,Metformin,C0919873,Prescribed Overdose
CID000004091,Metformin,C0854794,Hepatic Neoplasm Malignant
CID000004091,Metformin,C0743150,Diabetic Ulcer
CID000004091,Metformin,C0521541,Brain Stem Ischaemia
CID000004091,Metformin,C1610082,Occult Blood Positive
CID000004091,Metformin,C0021932,Endotracheal Intubation
CID000004091,Metformin,C0476273,Respiratory Distress
CID000004091,Metformin,C0376670,Alcoholic Pancreatitis
CID000004091,Metformin,C0853629,Blood Triglycerides
CID000004091,Metformin,C0877055,Acute Generalised Exanthematous Pustulosis
CID000004091,Metformin,C0155973,Gastric Ulcer Haemorrhage
CID000004091,Metformin,C0240327,Dysgeusia
CID000004091,Metformin,C0853760,Blood Potassium Increased
CID000004091,Metformin,C0424489,Chapped Lips
CID000004091,Metformin,C0542184,Gastrointestinal Disorder
CID000004091,Metformin,C1608397,Device Occlusion
CID000004091,Metformin,C0020580,Hypoaesthesia
CID000004091,Metformin,C0948089,Acute Coronary Syndrome
CID000004091,Metformin,C0232807,Renal Impairment
CID000004091,Metformin,C0151995,Degeneration Of Uterine Fibroid
CID000004091,Metformin,C1096532,Vascular Pseudoaneurysm
CID000004091,Metformin,C0235874,Condition Aggravated
CID000004091,Metformin,C1141937,Nephrogenic Anaemia
CID000004091,Metformin,C1141933,Multi-Organ Disorder
CID000004091,Metformin,C0011331,Dental Care
CID000004091,Metformin,C0700361,Emotional Distress
CID000004091,Metformin,C0003492,Coarctation Of The Aorta
CID000004091,Metformin,C0034642,Crackles Lung
CID000004091,Metformin,C0340574,Femoral Arterial Stenosis
CID000004091,Metformin,C0009450,Infection
CID000004091,Metformin,C0021053,Immune System Disorder
CID000004091,Metformin,C0549453,Traumatic Haematoma
CID000004091,Metformin,C0004364,Autoimmune Disorder
CID000004091,Metformin,C0740287,Oesophageal Dilatation
CID000004091,Metformin,C1291077,Abdominal Distension
CID000004091,Metformin,C1328275,Diabetic Complication
CID000004091,Metformin,C1291078,Epigastric Discomfort
CID000004091,Metformin,C0312420,Hypersexuality
CID000004091,Metformin,C1868877,Mechanical Ventilation
CID000004091,Metformin,C0920086,Limb Operation
CID000004091,Metformin,C0151691,High Density Lipoprotein Decreased
CID000004091,Metformin,C0877248,Adverse Event
CID000004091,Metformin,C0876997,Factor Viii Inhibition
CID000004091,Metformin,C1869048,Ageusia
CID000004091,Metformin,C0237938,Gastrointestinal Ulcer
CID000004091,Metformin,C1971624,Decreased Appetite
CID000004091,Metformin,C0021655,Insulin Resistance
CID000004091,Metformin,C0236068,Swollen Tongue
CID000004091,Metformin,C0476280,Musculoskeletal Chest Pain
CID000004091,Metformin,C0476281,Non-Cardiac Chest Pain
CID000004091,Metformin,C1112214,Vulvovaginal Pruritus
CID000004091,Metformin,C0855072,Synovial Sarcoma
CID000004091,Metformin,C0948048,Malignant Neoplasm Progression
CID000004091,Metformin,C0851354,Ear And Labyrinth Disorders
CID000004091,Metformin,C0160390,Hepatic Trauma
CID000004091,Metformin,C0189485,Biopsy Lung
CID000004091,Metformin,C0580413,Prothrombin Time
CID000004091,Metformin,C0026205,Miosis
CID000004091,Metformin,C0236845,Breathing-Related Sleep Disorder
CID000004091,Metformin,C0853034,Blood Creatine Phosphokinase Increased
CID000004091,Metformin,C0855410,Coagulation Factor Viii Level Abnormal
CID000004091,Metformin,C0018834,Dyspepsia
CID000004091,Metformin,C0162287,Abnormal Faeces
CID000004091,Metformin,C0235309,Abdominal Discomfort
CID000004091,Metformin,C0700590,Hyperhidrosis
CID000004091,Metformin,C0151814,Coronary Artery Occlusion
CID000004091,Metformin,C1963746,Abdominal Wall Haematoma
CID000004091,Metformin,C0242339,Dyslipidaemia
CID000004091,Metformin,C0854302,Lymphoproliferative Disorder
CID000004091,Metformin,C0267055,Erosive Oesophagitis
CID000004091,Metformin,C1167965,Urine Output Increased
CID000004091,Metformin,C0919808,Hearing Aid User
CID000004091,Metformin,C0858738,Vitamin B12 Deficiency
CID000004091,Metformin,C1112653,Angioplasty
CID000004091,Metformin,C0855327,Ejection Fraction Abnormal
CID000004091,Metformin,C0337629,Economic Problem
CID000004091,Metformin,C0587094,Breast Calcifications
CID000004091,Metformin,C0853777,Blood Albumin Decreased
CID000004091,Metformin,C0342592,Anion Gap Increased
CID000004091,Metformin,C0027765,Nervous System Disorder
CID000004091,Metformin,C0854121,Gastrointestinal Motility Disorder
CID000004091,Metformin,C0150450,Altered State Of Consciousness
CID000004091,Metformin,C1760428,Suicidal Behaviour
CID000004091,Metformin,C1869039,Dysthymic Disorder
CID000004091,Metformin,C0017178,Gastrointestinal Disorder
CID000004091,Metformin,C0021080,Immunosuppression
CID000004091,Metformin,C0855565,Beta 2 Microglobulin Increased
CID000004091,Metformin,C0195078,Bartholin'S Cyst
CID000004091,Metformin,C0877302,Insulin-Requiring Type 2 Diabetes Mellitus
CID000004091,Metformin,C2363816,Bipolar I Disorder
CID000004091,Metformin,C1096117,Off Label Use
CID000004091,Metformin,C0349782,Ischaemic Cardiomyopathy
CID000004091,Metformin,C0853834,Blood Immunoglobulin E
CID000004091,Metformin,C0524620,Metabolic Syndrome
