drug1_id,drug2_id,drug1_name,drug2_name,interaction_type
DB00006,DB00346,Bivalirudin,Alfuzosin,serum concentration
DB00006,DB13783,Bivalirudin,Acemetacin,risk or severity of bleeding
DB00006,DB06605,Bivalirudin,Apixaban,anticoagulant activities
DB00006,DB06695,Bivalirudin,Dabigatran etexilate,anticoagulant activities
DB00006,DB09075,Bivalirudin,Edoxaban,anticoagulant activities
DB00006,DB06228,Bivalirudin,Rivaroxaban,anticoagulant activities
DB00006,DB00227,Bivalirudin,Lovastatin,serum concentration
DB00006,DB09030,Bivalirudin,Vorapaxar,risk or severity of adverse effects
DB00006,DB00683,Bivalirudin,Midazolam,serum concentration
DB00006,DB00641,Bivalirudin,Simvastatin,serum concentration
DB00006,DB00932,Bivalirudin,Tipranavir,serum concentration
DB00006,DB00248,Bivalirudin,Cabergoline,serum concentration
DB00006,DB01200,Bivalirudin,Bromocriptine,serum concentration
DB00006,DB00320,Bivalirudin,Dihydroergotamine,serum concentration
DB00006,DB00696,Bivalirudin,Ergotamine,serum concentration
DB00006,DB01253,Bivalirudin,Ergonovine,serum concentration
DB00006,DB00353,Bivalirudin,Methylergometrine,serum concentration
DB00006,DB00897,Bivalirudin,Triazolam,serum concentration
DB00006,DB00977,Bivalirudin,Ethinyl Estradiol,serum concentration
DB00006,DB01357,Bivalirudin,Mestranol,serum concentration
DB00006,DB00783,Bivalirudin,Estradiol,serum concentration
DB00006,DB00255,Bivalirudin,Diethylstilbestrol,serum concentration
DB00006,DB00091,Bivalirudin,Cyclosporine,serum concentration
DB00006,DB00864,Bivalirudin,Tacrolimus,metabolism
DB00006,DB00454,Bivalirudin,Pethidine,risk or severity of adverse effects
DB00006,DB00404,Bivalirudin,Alprazolam,serum concentration
DB00006,DB08873,Bivalirudin,Boceprevir,serum concentration
DB00006,DB00564,Bivalirudin,Carbamazepine,metabolism
DB00006,DB01211,Bivalirudin,Clarithromycin,therapeutic efficacy
DB00006,DB00705,Bivalirudin,Delavirdine,serum concentration
DB00006,DB00655,Bivalirudin,Estrone,anticoagulant activities
DB00006,DB00890,Bivalirudin,Dienestrol,anticoagulant activities
DB00006,DB04575,Bivalirudin,Quinestrol,anticoagulant activities
DB00006,DB04573,Bivalirudin,Estriol,anticoagulant activities
DB00006,DB13952,Bivalirudin,Estradiol acetate,anticoagulant activities
DB00006,DB13954,Bivalirudin,Estradiol cypionate,anticoagulant activities
DB00006,DB13956,Bivalirudin,Estradiol valerate,anticoagulant activities
DB00006,DB06401,Bivalirudin,Bazedoxifene,anticoagulant activities
DB00006,DB04865,Bivalirudin,Omacetaxine mepesuccinate,risk or severity of bleeding
DB00006,DB01149,Bivalirudin,Nefazodone,serum concentration
DB00006,DB13943,Bivalirudin,Testosterone cypionate,therapeutic efficacy
DB00006,DB13944,Bivalirudin,Testosterone enanthate,therapeutic efficacy
DB00006,DB01431,Bivalirudin,Allylestrenol,therapeutic efficacy
DB00006,DB00294,Bivalirudin,Etonogestrel,therapeutic efficacy
DB00006,DB00603,Bivalirudin,Medroxyprogesterone acetate,therapeutic efficacy
DB00006,DB00396,Bivalirudin,Progesterone,therapeutic efficacy
DB00006,DB00717,Bivalirudin,Norethisterone,therapeutic efficacy
DB00006,DB06789,Bivalirudin,Hydroxyprogesterone caproate,therapeutic efficacy
DB00006,DB00304,Bivalirudin,Desogestrel,therapeutic efficacy
DB00006,DB00378,Bivalirudin,Dydrogesterone,therapeutic efficacy
DB00006,DB06730,Bivalirudin,Gestodene,therapeutic efficacy
DB00006,DB11619,Bivalirudin,Gestrinone,therapeutic efficacy
DB00006,DB09124,Bivalirudin,Medrogestone,therapeutic efficacy
DB00006,DB11636,Bivalirudin,Nomegestrol,therapeutic efficacy
DB00006,DB13857,Bivalirudin,Demegestone,therapeutic efficacy
DB00006,DB00351,Bivalirudin,Megestrol acetate,therapeutic efficacy
DB00006,DB00367,Bivalirudin,Levonorgestrel,therapeutic efficacy
DB00006,DB09123,Bivalirudin,Dienogest,therapeutic efficacy
DB00006,DB01395,Bivalirudin,Drospirenone,therapeutic efficacy
DB00006,DB12474,Bivalirudin,Lynestrenol,therapeutic efficacy
DB00006,DB13946,Bivalirudin,Testosterone undecanoate,therapeutic efficacy
DB00006,DB08931,Bivalirudin,Riociguat,serum concentration
DB00006,DB00203,Bivalirudin,Sildenafil,serum concentration
DB00006,DB06287,Bivalirudin,Temsirolimus,risk or severity of adverse effects
DB00006,DB00343,Bivalirudin,Diltiazem,metabolism
DB00006,DB00661,Bivalirudin,Verapamil,metabolism
DB00006,DB00686,Bivalirudin,Pentosan Polysulfate,anticoagulant activities
DB00006,DB00321,Bivalirudin,Amitriptyline,serum concentration
DB00006,DB00344,Bivalirudin,Protriptyline,serum concentration
DB00006,DB00458,Bivalirudin,Imipramine,serum concentration
DB00006,DB00540,Bivalirudin,Nortriptyline,serum concentration
DB00006,DB00726,Bivalirudin,Trimipramine,serum concentration
DB00006,DB01142,Bivalirudin,Doxepin,serum concentration
DB00006,DB01151,Bivalirudin,Desipramine,serum concentration
DB00006,DB01242,Bivalirudin,Clomipramine,serum concentration
DB00006,DB09016,Bivalirudin,Butriptyline,serum concentration
DB00006,DB13114,Bivalirudin,Amitriptylinoxide,serum concentration
DB00006,DB08996,Bivalirudin,Dimetacrine,serum concentration
DB00006,DB09167,Bivalirudin,Dosulepin,serum concentration
DB00006,DB09289,Bivalirudin,Tianeptine,serum concentration
DB00006,DB00543,Bivalirudin,Amoxapine,serum concentration
DB00006,DB01048,Bivalirudin,Abacavir,serum concentration
DB00006,DB00531,Bivalirudin,Cyclophosphamide,risk or severity of adverse effects
DB00006,DB00390,Bivalirudin,Digoxin,serum concentration
DB00006,DB06414,Bivalirudin,Etravirine,serum concentration
DB00006,DB01254,Bivalirudin,Dasatinib,anticoagulant activities
DB00006,DB01609,Bivalirudin,Deferasirox,risk or severity of adverse effects
DB00006,DB03619,Bivalirudin,Deoxycholic Acid,risk or severity of adverse effects
DB00006,DB09053,Bivalirudin,Ibrutinib,risk or severity of adverse effects
DB00006,DB09079,Bivalirudin,Nintedanib,risk or severity of adverse effects
